REGION,YEAR,quarters,COD,deathcount,country
4000,2011,Q2,Diseases of the respiratory system,232,belgium
4000,2011,Q2,Diseases of the skin and subcutaneous tissue,5,belgium
4000,2011,Q2,Mental and behavioural disorders,62,belgium
4000,2011,Q2,Neoplasms,566,belgium
4000,2011,Q3,Diseases of the circulatory system,579,belgium
4000,2011,Q3,Diseases of the nervous system,78,belgium
4000,2011,Q3,Diseases of the respiratory system,187,belgium
4000,2011,Q3,Diseases of the skin and subcutaneous tissue,10,belgium
4000,2011,Q3,Mental and behavioural disorders,68,belgium
4000,2011,Q3,Neoplasms,557,belgium
4000,2011,Q4,Diseases of the circulatory system,673,belgium
4000,2011,Q4,Diseases of the nervous system,117,belgium
4000,2011,Q4,Diseases of the respiratory system,260,belgium
4000,2011,Q4,Diseases of the skin and subcutaneous tissue,12,belgium
4000,2011,Q4,Mental and behavioural disorders,64,belgium
4000,2011,Q4,Neoplasms,606,belgium
4000,2012,Q1,Diseases of the circulatory system,688,belgium
4000,2012,Q1,Diseases of the nervous system,138,belgium
4000,2012,Q1,Diseases of the respiratory system,319,belgium
4000,2012,Q1,Diseases of the skin and subcutaneous tissue,5,belgium
4000,2012,Q1,Mental and behavioural disorders,118,belgium
4000,2012,Q1,Neoplasms,616,belgium
4000,2012,Q2,Diseases of the circulatory system,586,belgium
4000,2012,Q2,Diseases of the nervous system,105,belgium
4000,2012,Q2,Diseases of the respiratory system,206,belgium
4000,2012,Q2,Diseases of the skin and subcutaneous tissue,8,belgium
4000,2012,Q2,Mental and behavioural disorders,60,belgium
4000,2012,Q2,Neoplasms,578,belgium
4000,2012,Q3,Diseases of the circulatory system,579,belgium
4000,2012,Q3,Diseases of the nervous system,123,belgium
4000,2012,Q3,Diseases of the respiratory system,189,belgium
4000,2012,Q3,Diseases of the skin and subcutaneous tissue,9,belgium
4000,2012,Q3,Mental and behavioural disorders,111,belgium
4000,2012,Q3,Neoplasms,557,belgium
4000,2012,Q4,Diseases of the circulatory system,656,belgium
4000,2012,Q4,Diseases of the nervous system,133,belgium
4000,2012,Q4,Diseases of the respiratory system,260,belgium
4000,2012,Q4,Diseases of the skin and subcutaneous tissue,6,belgium
4000,2012,Q4,Mental and behavioural disorders,105,belgium
4000,2012,Q4,Neoplasms,568,belgium
4000,2013,Q1,Diseases of the circulatory system,649,belgium
4000,2013,Q1,Diseases of the nervous system,141,belgium
4000,2013,Q1,Diseases of the respiratory system,323,belgium
4000,2013,Q1,Diseases of the skin and subcutaneous tissue,7,belgium
4000,2013,Q1,Mental and behavioural disorders,111,belgium
4000,2013,Q1,Neoplasms,587,belgium
4000,2013,Q2,Diseases of the circulatory system,587,belgium
4000,2013,Q2,Diseases of the nervous system,140,belgium
4000,2013,Q2,Diseases of the respiratory system,224,belgium
4000,2013,Q2,Diseases of the skin and subcutaneous tissue,5,belgium
4000,2013,Q2,Mental and behavioural disorders,96,belgium
4000,2013,Q2,Neoplasms,548,belgium
4000,2013,Q3,Diseases of the circulatory system,514,belgium
4000,2013,Q3,Diseases of the nervous system,110,belgium
4000,2013,Q3,Diseases of the respiratory system,178,belgium
4000,2013,Q3,Diseases of the skin and subcutaneous tissue,12,belgium
4000,2013,Q3,Mental and behavioural disorders,80,belgium
4000,2013,Q3,Neoplasms,553,belgium
4000,2013,Q4,Diseases of the circulatory system,613,belgium
4000,2013,Q4,Diseases of the nervous system,135,belgium
4000,2013,Q4,Diseases of the respiratory system,234,belgium
4000,2013,Q4,Diseases of the skin and subcutaneous tissue,8,belgium
4000,2013,Q4,Mental and behavioural disorders,77,belgium
4000,2013,Q4,Neoplasms,582,belgium
4000,2014,Q1,Diseases of the circulatory system,604,belgium
4000,2014,Q1,Diseases of the nervous system,130,belgium
4000,2014,Q1,Diseases of the respiratory system,234,belgium
4000,2014,Q1,Diseases of the skin and subcutaneous tissue,11,belgium
4000,2014,Q1,Mental and behavioural disorders,95,belgium
4000,2014,Q1,Neoplasms,562,belgium
4000,2014,Q2,Diseases of the circulatory system,548,belgium
4000,2014,Q2,Diseases of the nervous system,109,belgium
4000,2014,Q2,Diseases of the respiratory system,219,belgium
4000,2014,Q2,Diseases of the skin and subcutaneous tissue,7,belgium
4000,2014,Q2,Mental and behavioural disorders,85,belgium
4000,2014,Q2,Neoplasms,566,belgium
4000,2014,Q3,Diseases of the circulatory system,473,belgium
4000,2014,Q3,Diseases of the nervous system,99,belgium
4000,2014,Q3,Diseases of the respiratory system,171,belgium
4000,2014,Q3,Diseases of the skin and subcutaneous tissue,12,belgium
4000,2014,Q3,Mental and behavioural disorders,88,belgium
4000,2014,Q3,Neoplasms,544,belgium
4000,2014,Q4,Diseases of the circulatory system,625,belgium
4000,2014,Q4,Diseases of the nervous system,124,belgium
4000,2014,Q4,Diseases of the respiratory system,239,belgium
4000,2014,Q4,Diseases of the skin and subcutaneous tissue,2,belgium
4000,2014,Q4,Mental and behavioural disorders,98,belgium
4000,2014,Q4,Neoplasms,609,belgium
4000,2015,Q1,Diseases of the circulatory system,684,belgium
4000,2015,Q1,Diseases of the nervous system,155,belgium
4000,2015,Q1,Diseases of the respiratory system,407,belgium
4000,2015,Q1,Diseases of the skin and subcutaneous tissue,8,belgium
4000,2015,Q1,Mental and behavioural disorders,131,belgium
4000,2015,Q1,Neoplasms,597,belgium
4000,2015,Q2,Diseases of the circulatory system,546,belgium
4000,2015,Q2,Diseases of the nervous system,119,belgium
4000,2015,Q2,Diseases of the respiratory system,214,belgium
4000,2015,Q2,Diseases of the skin and subcutaneous tissue,7,belgium
4000,2015,Q2,Mental and behavioural disorders,112,belgium
4000,2015,Q2,Neoplasms,560,belgium
4000,2015,Q3,Diseases of the circulatory system,589,belgium
4000,2015,Q3,Diseases of the nervous system,107,belgium
4000,2015,Q3,Diseases of the respiratory system,154,belgium
4000,2015,Q3,Diseases of the skin and subcutaneous tissue,10,belgium
4000,2015,Q3,Mental and behavioural disorders,116,belgium
4000,2015,Q3,Neoplasms,531,belgium
4000,2015,Q4,Diseases of the circulatory system,570,belgium
4000,2015,Q4,Diseases of the nervous system,141,belgium
4000,2015,Q4,Diseases of the respiratory system,198,belgium
4000,2015,Q4,Diseases of the skin and subcutaneous tissue,14,belgium
4000,2015,Q4,Mental and behavioural disorders,109,belgium
4000,2015,Q4,Neoplasms,572,belgium
4000,2016,Q1,Diseases of the circulatory system,622,belgium
4000,2016,Q1,Diseases of the nervous system,133,belgium
4000,2016,Q1,Diseases of the respiratory system,275,belgium
4000,2016,Q1,Diseases of the skin and subcutaneous tissue,5,belgium
4000,2016,Q1,Mental and behavioural disorders,112,belgium
4000,2016,Q1,Neoplasms,580,belgium
4000,2016,Q2,Diseases of the circulatory system,572,belgium
4000,2016,Q2,Diseases of the nervous system,113,belgium
4000,2016,Q2,Diseases of the respiratory system,210,belgium
4000,2016,Q2,Diseases of the skin and subcutaneous tissue,8,belgium
4000,2016,Q2,Mental and behavioural disorders,81,belgium
4000,2016,Q2,Neoplasms,529,belgium
4000,2016,Q3,Diseases of the circulatory system,528,belgium
4000,2016,Q3,Diseases of the nervous system,131,belgium
4000,2016,Q3,Diseases of the respiratory system,203,belgium
4000,2016,Q3,Diseases of the skin and subcutaneous tissue,4,belgium
4000,2016,Q3,Mental and behavioural disorders,95,belgium
4000,2016,Q3,Neoplasms,539,belgium
4000,2016,Q4,Diseases of the circulatory system,611,belgium
4000,2016,Q4,Diseases of the nervous system,154,belgium
4000,2016,Q4,Diseases of the respiratory system,268,belgium
4000,2016,Q4,Diseases of the skin and subcutaneous tissue,10,belgium
4000,2016,Q4,Mental and behavioural disorders,119,belgium
4000,2016,Q4,Neoplasms,582,belgium
4000,2017,Q1,Diseases of the circulatory system,625,belgium
4000,2017,Q1,Diseases of the nervous system,140,belgium
4000,2017,Q1,Diseases of the respiratory system,319,belgium
4000,2017,Q1,Diseases of the skin and subcutaneous tissue,10,belgium
4000,2017,Q1,Mental and behavioural disorders,134,belgium
4000,2017,Q1,Neoplasms,559,belgium
4000,2017,Q2,Diseases of the circulatory system,520,belgium
4000,2017,Q2,Diseases of the nervous system,113,belgium
4000,2017,Q2,Diseases of the respiratory system,211,belgium
4000,2017,Q2,Diseases of the skin and subcutaneous tissue,6,belgium
4000,2017,Q2,Mental and behavioural disorders,89,belgium
4000,2017,Q2,Neoplasms,552,belgium
4000,2017,Q3,Diseases of the circulatory system,503,belgium
4000,2017,Q3,Diseases of the nervous system,114,belgium
4000,2017,Q3,Diseases of the respiratory system,180,belgium
4000,2017,Q3,Diseases of the skin and subcutaneous tissue,8,belgium
4000,2017,Q3,Mental and behavioural disorders,101,belgium
4000,2017,Q3,Neoplasms,572,belgium
4000,2017,Q4,Diseases of the circulatory system,577,belgium
4000,2017,Q4,Diseases of the nervous system,127,belgium
4000,2017,Q4,Diseases of the respiratory system,217,belgium
4000,2017,Q4,Diseases of the skin and subcutaneous tissue,13,belgium
4000,2017,Q4,Mental and behavioural disorders,114,belgium
4000,2017,Q4,Neoplasms,569,belgium
